LINK,IMAGE,TITLE,SUBTITLE
"http://goo.gl/forms/j2gzll1KJV","http://faithandlearning-dev.byu.edu/images/getinvolved/email.png","Join our mailing list","to get notified about new events, quotes, and videos."
"http://goo.gl/forms/94ZBGsGyiR","http://faithandlearning-dev.byu.edu/images/getinvolved/event.png","Submit an event","related to Faith and Learning at BYU"
"http://goo.gl/forms/zPp7kR5Pr8","http://faithandlearning-dev.byu.edu/images/getinvolved/spotlight.png","Suggest someone","for us to spotlight"
"http://goo.gl/forms/GN9gd1NnMj","http://faithandlearning-dev.byu.edu/images/getinvolved/question3.png","Ask a question","that you would like us to research"
"http://goo.gl/forms/8R5Kif85tZ","http://faithandlearning-dev.byu.edu/images/getinvolved/completed.png","Share your completed research","for us to post on the research page"
"http://goo.gl/forms/smneYy73jF","http://faithandlearning-dev.byu.edu/images/getinvolved/current.png","Share your ongoing research","for us to post on the research page"
"http://goo.gl/forms/OeiJvQNmXC","http://faithandlearning-dev.byu.edu/images/getinvolved/meeting.png","Join recurring faculty-hosted d"iscussions,"related to faith and learning"
"http://goo.gl/forms/CNKOUbSTri","http://faithandlearning-dev.byu.edu/images/getinvolved/story.png","Share a story","of an experience or insight that helped you see and accomplish the BYU vision"
"http://goo.gl/forms/ndbk5lH3uU","http://faithandlearning-dev.byu.edu/images/getinvolved/help.png","Other","Let us know how you'd like to get involved!"

